Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
237,Dr Lal PathLabs,"2,64,15,20,508",31.74,"6,44,97,100",0.9137,"26,84,87,543",4110
238,Finolex Cables,"2,63,17,64,746",17.21,"10,43,87,000",0.4894,"60,45,39,710",1589
239,Nerolac Paints,"2,61,27,10,674",3.23,"18,56,96,000",0,"93,54,77,066",3379
240,CDSL,"2,60,53,90,464",24.93,"6,69,73,900",0.7797,"9,78,50,818",246
241,Radico Khaitan,"2,52,71,43,828",18.9,"4,91,41,300",0.1909,"49,64,69,101",1196
242,Sanofi India Limited,"2,38,19,68,411",103.43,"10,25,92,000",1.9896,"34,11,14,731",2651
243,Inox Wind,"2,36,13,97,028",1.79,"1,72,04,600",0,"19,19,15,147",913
244,Relaxo Footwear,"2,35,61,21,504",9.46,"3,24,80,300",0.314,"35,14,07,853",8026
245,Piramal Pharma,"2,34,42,71,364",1.77,"7,54,18,900",0,"98,47,03,925",6295
246,Mahindra CIE,"2,33,02,49,104",6.14,"13,65,65,000",0,"94,15,80,656",4665
247,Elgi Equipments,"2,31,75,11,911",7.32,"7,09,64,100",0.3331,"38,35,09,964",1258
248,Finolex Industries,"2,30,94,66,142",3.73,"8,28,14,400",0.4754,"52,07,09,930",1379
249,Kajaria Ceramics,"2,30,11,88,996",14.45,"6,94,12,000",0.7268,"55,19,36,105",4380
250,WNS,"2,29,43,81,056",50.21,"19,26,79,000",0,"1,32,33,65,000",60652
251,Cyient,"2,28,60,47,521",20.8,"12,47,12,000",1.6284,"86,16,71,291",12042
252,Tejas Networks,"2,28,31,73,962",13.36,"1,55,80,200",0,"31,06,00,469",1417
253,Whirlpool India,"2,27,86,46,388",17.96,"3,63,87,200",0.3406,"81,93,93,857",2668
254,KEC International,"2,27,60,83,362",8.85,"11,81,98,000",0.4012,"2,29,85,32,464",7779
255,Devyani International,"2,22,66,90,557",1.85,"2,30,03,600",0,"42,87,24,266",15685
256,BASF India,"2,21,64,05,456",51.2,"9,14,43,100",0.1888,"1,65,82,01,408",1363
257,Multi Commodity Exchange,"2,21,59,79,038",43.53,"1,09,07,200",0.5285,"8,09,11,033",308
258,Trident,"2,20,19,28,258",0.44,"7,63,55,600",0,"82,07,30,309",14998
259,BEML,"2,19,70,01,371",52.76,"5,03,74,200",0.2354,"49,05,77,346",5573
260,ReNew Power,"2,18,82,00,704",5.99,"6,49,34,900",0,"1,04,76,41,386",2481
